year,code,comment
2020,01000,"市町村自体が「データを公開する」オープンデータの取組を全市町村が行うのは困難である。
そのため、国や道に提供するオープンデータについて、「拒まない」ことをオープンデータに取り組んでいるという用にすることが必要。データは国や道で公開している方がいいものも多い。

また、最近Twitterなどで話題になった。東京都中野区の食品衛生施設一覧のオープンデータが拒まれた問題（180万円請求されたと言うこと）のように、【条例】によって縛られている自治体も多くある。
条例で縛られている場合、担当者がいくらオープンデータに対して前向きであってもオープンにできないので、国から市町村担当者がオープンデータにしやすいよう、市町村の条例などでオープンデータを妨げているものについて把握し、是正を求めるようにした方がいいのではないかと思う。

これからは国が主導で「オープンデータは当たり前のもの」となるような施策が必要と思う。

また、今後は国主導で様々なシステムの統一などが行われていくかと思いますが、都道府県、市町村には、データを扱うシステムを作るときには、オープンデータの公開を考慮した、データ出力機能を付けることをデフォルトにするなどの仕様の統一を行ってほしい。そうすることで、データ公開側の手間が減って、データの更新などが進むようにできる。
"
2020,02000,"　本県においては、令和元年3月から市町村や民間も登録できるオープンデータカタログサイトを運用しており、9月末現在で1,203ﾃﾞｰﾀセット、9755ﾌｧｲﾙが登録されている。
　ﾌｧｲﾙﾀﾞｳﾝﾛｰﾄﾞ数は、本年度4～9月で6,465千件で前年度同期と比較して３倍となっている。
　統計データについては統計分析課が主体となって登録を行っているが、統計表様式のエクセル形式（3,665ﾌｧｲﾙ）が中心でCSV形式（567ﾌｧｲﾙ)が少なく、機械判読可能なファイル形式への転換が課題となっている。
　統計情報以外については、ホームページへの掲載データの転用が主でPDF形式（2448ﾌｧｲﾙ)やワード形式（2445ﾌｧｲﾙ)が多く、機械判読にはなじまないデータが多い。
　住民への情報の提供や公開を目的として、公式ホームページに掲載することについては、業務として定着しているが、当該情報をオープンデータ化してカタログサイトに登録することについては、別途作業が発生するため業務として定着していないのが現状である。
　推奨データセットに関連する情報については、公式ホームページで公開しているものが多いが、これをオープンデータとして推奨されるファイル形式を加工して提供することについて、できれば一度作業で両方のデータが作成できることが望ましいと考えている。このため、行政手続きなど定型のホームページコンテンツについては、エクセルとVBAで変換できる手法を試験的に開発するなどの取組を行っている。
　一方、オープンデータの活用については、コロナ感染者数等の情報をCSV形式で提供し、NPO団体が活用して公開ページ（covid19.codeforaomori.org）を立ち上げるなど、活用事例がでてきている。"
2020,03000,"オープンデータが分かりやすい形で利活用されないと、原課の理解を得ることが難しく、オープンデータの公開が進まない。民間企業によるオープンデータ利活用のマッチング等の支援があれば利活用が促進され、公開も進むと思う。
また、本県の現状は、ホームページに掲載されたPDF等のデータをオープンデータと称して公開しているものがほとんどであり、国による統一的なデータ公開のプラットフォーム等があれば、よりよい形式でのオープンデータの公開が容易になると考える。"
2020,05000,・オープンデータの目的は理解できるが、様々な業務を限られた人数で対応する必要がある中では、オープンデータの取組の優先度は低いほか、明確な効果を数値等により現しにくいため、予算要求における説明等も非常に難しい。オープンデータの取組を推進するのであれば、自治体の取組に対する政府からの強力な人的・金銭的なインセンティブが必要ではないかと考える。
2020,06000,民間企業がどういったデータを求めているか、定期的に情報提供を受けたい。
2020,07000,県内市町村からは、オープンデータを公開したとしても需要がないとの意見が多い。地域の民間企業等にオープンデータを活用していただくには、どのように働きかけるのが効果的か助言が欲しい。
2020,13000,国システムを通じて公開しているデータについて、利用者側の利便性を考慮し、一括してオープンデータ化を図っていただきたい。（例：河川水位情報）
2020,14000,"・　データの標準化
　オープンデータの利活用を進めるためには、利活用しやすい形式で標準化されたデータの公開が必要であり、全国どこの団体でも同一規格、同一品質のオープンデータが不足なく提供されていることが重要であると考えますが、現状では、各団体独自のフォーマットでの公開や既存の統計資料をそのままオープンデータとして公開している事例などが散見されます。
　データの利活用を進める観点から、国において地方公共団体が公開するオープンデータの標準化に向けた取組に注力していただければと存じます。
　
・　データの注釈
　防災分野など、作成にあたって前提や注意事項のあるデータについて、データを利活用する側がこれらを正確に認識できるよう、データの公開にあたって、注釈の整備を合わせて行う必要があると考えています。また、注釈の整備にあたっては、データと同様に標準化が必要と考えています。
　　"
2020,15000,"オープンデータ基本方針に「各府省庁が保有するデータはすべてオープンデータとして公開することを原則とする。」と記載がありますが、都道府県もこれを原則とするのでしょうか。
また、そうであった場合、保有するデータには利用価値が低いと思われるデータもあると思いますが、それらも公開していく必要があるのでしょうか。"
2020,16000,"・産学官連携でデータ利活用を進めていくことが重要であるが、質の良いデータをどのように確保していくか、データ分析ができる人材をどう確保するかが課題
・推奨データフォーマットでは、緯度経度の入力が必須であることや、現在管理しているデータからのフォーマットへの転記が必要であることから、公開にあたっての職員の作業負担が大きい"
2020,22000,・星３までのデータであれば、比較的容易に公開が可能だが、それ以上の質のデータを公開する場合は、データ形式の説明や変換方法について理解する必要があり、現在の人材では難しいため、研修の実施をお願いしたい。
2020,23000,愛知県では、愛知県と県内市町村（名古屋市を除く）であいち電子自治体推進協議会が運営されており、その協議会のホームページにおいて、各自治体のオープンデータのページへリンクするオープンデータリンク集を設けている。
2020,29000,"〇他団体内部でのオープンデータ公開に向けた取組の内容や手順、調整方法等について知りたい。
"
2020,30000,"・オープンデータの効果を定量的に把握することが難しく、予算の確保が難しい。
・自治体を横断して利用できるオープンデータサイトの提供やオープンデータ推進のための費用支援をお願いしたい。"
2020,36000,"本県が公開しているオープンデータについて，利活用事例を収集する方法があれば御教授いただきたい。
また，推奨データセット以外でも，オープンデータとして公開できるデータの詳細な基準及び具体例を示していただきたい。"
2020,40000,"・自治体職員のメリットの明確化
・自治体職員にメリットのある先進活用事例
・民間事業者のデータニーズ
・業務システムの標準化によるデータフォーマットの共通化"
2020,01100,"・オープンデータの担当者に限らず、各原課で希望する職員がデータ活用、分析（EBPM、プログラミングなどを含む）を学ぶための研修や支援をお願いしたい。

・原課及びオープンデータ担当課におけるオープンデータ促進のため、オープンデータについての理念や考えではなく、実利ある策をご教示いただきたい。"
2020,01211,"　オープンデータを作成する際に、目視で入力規則に則ってデータが入力されているか確認している。
　例えば、ファイルをドロップするだけで、入力規則を判定できる支援ツールのようなものがあればデータ作成の負担が軽くなると思います。
　また、公開している市町村のオープンデータを活用したハッカソンやアイデアソンを都道府県が企画・開催していただけると、データの利活用が進むきっかけとなると思います。"
2020,01331,国や道の報告様式がそのままオープンデータとなるようにして、国や道に提出した時点でオープンデータに取り組んでいるようになる仕組みを構築してほしい
2020,01367,特になし
2020,01395,"推奨データセットの医療機関一覧や介護サービス事業所一覧についてですが、どちらも都道府県が認可する機関・事業所であり、
既に下記URLの北海道厚生局や厚生労働省にてデータが公開されています。
これらのデータセットについては、都道府県もしくは国で一括管理し、オープンデータ化すると効率が良いと考えられます。
ご一考の程、よろしくお願いします。

北海道厚生局　保健医療機関・保険薬局等の管内指定状況等について
https://kouseikyoku.mhlw.go.jp/hokkaido/gyomu/gyomu/hoken_kikan/code_ichiran.html

厚生労働省　介護事業所・生活関連情報検索
https://www.kaigokensaku.mhlw.go.jp/
"
2020,01452,取組の必要性は理解できるが、窓口担当及び原課においてマンパワーを割くことができず、取組を推進することが困難な状況が今後も変わらないと想定している。
2020,01482,"・データがどのようなものに使われているのか、もしくは使われていないのか。
・小さな町で、ほとんどデータがないようなもの（医療機関一覧等）を公開する必要があるのか。
"
2020,01634,明確なニーズが無いと、他の仕事がある中で、時間を割いて積極的に取組むことにはなり難いと感じています。
2020,02203,当市と同程度の規模の自治体の取り組み事例を知りたい。
2020,02206,データ保有部署へ取組を促す支援、公開データを簡易に作成・管理できるツールが欲しい。
2020,03201,"・各データの所管部署が異なることから，オープンデータ作成のノウハウが継承されていないため，研修などを通じてデータ作成の支援をお願いしたいと考えています。

・オープンデータを活用したサービスを構築するにあたり，導入実績のある企業とのマッチングの場があればいいと考えています。"
2020,03381,特になし
2020,03483,今後導入されるであろう各省庁主導の各業務標準システムの機能として、推奨データセットに準拠したオープンデータ出力の機能を実装していただきたい。
2020,04206,すでに回答しているとおり、オープンデータの重要性・必要性は認識しており、可能であれば取り組みたいと考えているが、本市においてはオープンデータのについて理解が進んでいないので、まずは国県から情報提供をお願いしたい。
